timestamp[ns],leftCtrl,rightCtrl
16470449540722,-226,-244
16470449543000,-169,-45
16470449545089,-228,-120
16470449547166,-231,29
16470449549234,104,-109
16470449551243,-52,-32
16470449553304,-172,67
16470449555299,-203,199
16470449557425,-121,170
16470449559330,146,216
16470449561298,-93,181
16470449563315,157,-63
16470449565402,233,-207
16470449567480,25,2
16470449569554,-108,86
16470449571562,-138,-25
16470449573674,109,179
16470449575679,-142,21
16470449577769,140,25
16470449579884,-157,-250
16470449581885,63,-19
16470449583722,-129,48
16470449585733,87,22
16470449587725,117,-105
16470449589770,36,39
16470449591698,84,-168
16470449593664,41,147
16470449595483,-154,0
16470449597430,-52,196
16470449599310,215,73
16470449601295,252,-74
16470449603143,38,240
16470449605066,-78,-170
16470449606824,100,110
16470449608607,-51,-55
16470449610333,-5,-123
16470449612158,-43,-249
16470449613905,3,-90
16470449615635,-139,103
16470449617485,55,250
16470449619123,-43,6
16470449620924,-129,-99
16470449622674,-95,-145
16470449624457,69,144
16470449626225,-210,-190
16470449628388,-201,78
16470449630187,134,129
16470449631968,-218,140
16470449633842,250,-227
16470449635606,-202,-178
16470449637318,-223,-112
16470449639011,147,74
16470449640837,182,171
16470449642650,117,-38
16470449644562,133,-178
16470449646396,108,194
16470449648304,-68,-116
16470449650024,115,-79
16470449651907,-187,235
16470449653650,-41,-30
16470449655572,-205,-69
16470449657342,184,205
16470449659108,203,54
16470449660891,57,194
16470449662721,146,-139
16470449664360,166,-113
16470449666278,141,215
16470449668052,-96,90
16470449669794,224,205
16470449671651,222,-249
16470449673451,13,162
16470449675206,24,230
16470449677205,-21,-150
16470449679207,235,-190
16470449681365,178,150
16470449683329,-151,-96
16470449685391,119,129
16470449687374,-112,-160
16470449689814,-238,17
16470449691792,151,-252
16470449693706,-160,139
16470449695657,-148,94
16470449697606,-92,121
16470449699614,236,-151
16470449701573,223,-227
16470449703616,-91,-236
16470449705363,132,-72
16470449707197,243,-115
16470449709119,-211,-16
16470449710866,-96,-216
16470449712821,143,89
16470449714809,144,15
16470449716767,111,-248
16470449718579,-20,183
16470449720488,208,-222
16470449722462,-18,-213
16470449724491,-63,8
16470449726379,217,228
16470449728186,-191,112
16470449730118,155,53
