timestamp[ns],dist,sinYaw,cosYaw
16470449540722,3.47190185546875,0.17697178,-0.9842159
16470449543000,3.47171630859375,0.177003,-0.9842103
16470449545089,3.4714144897460937,0.17703725,-0.9842042
16470449547166,3.4710537719726564,0.1776351,-0.9840964
16470449549234,3.4706878662109375,0.17822587,-0.9839896
16470449551243,3.470267028808594,0.17818035,-0.9839978
16470449553304,3.4697900390625,0.17873634,-0.98389703
16470449555299,3.46931396484375,0.18044333,-0.98358536
16470449557425,3.468837890625,0.18327774,-0.9830612
16470449559330,3.4684246826171874,0.18664119,-0.98242813
16470449561298,3.4680712890625,0.19053097,-0.98168117
16470449563315,3.4677243041992187,0.1943829,-0.98092574
16470449565402,3.467376403808594,0.19704995,-0.98039347
16470449567480,3.467078857421875,0.19901955,-0.97999555
16470449569554,3.466838073730469,0.20155513,-0.97947717
16470449571562,3.466544494628906,0.20469595,-0.9788256
16470449573674,3.4662509155273438,0.20784281,-0.9781622
16470449575679,3.466014099121094,0.21135691,-0.97740895
16470449577769,3.4658251953125,0.21514605,-0.9765819
16470449579884,3.465636901855469,0.21885797,-0.9757567
16470449581885,3.46540283203125,0.22199908,-0.9750469
16470449583722,3.4651971435546876,0.22519991,-0.9743126
16470449585733,3.46505126953125,0.22894792,-0.9734387
16470449587725,3.464963073730469,0.23210771,-0.9726901
16470449589770,3.464927978515625,0.23461457,-0.97208846
16470449591698,3.464951171875,0.23650183,-0.97163105
16470449593664,3.465030517578125,0.23777874,-0.9713193
16470449595483,3.465118408203125,0.23915224,-0.9709821
16470449597430,3.4651483154296874,0.24110816,-0.97049826
16470449599310,3.4652410888671876,0.2435899,-0.9698783
16470449601295,3.465389404296875,0.24546917,-0.9694044
16470449603143,3.4655990600585938,0.24678172,-0.9690711
16470449605066,3.465809326171875,0.24811831,-0.96872973
16470449606824,3.466019287109375,0.2494034,-0.9683997
16470449608607,3.4662301635742185,0.25067627,-0.968071
16470449610333,3.4663653564453125,0.25150156,-0.9678569
16470449612158,3.4664373779296875,0.25173944,-0.967795
16470449613905,3.466444091796875,0.25146624,-0.96786606
16470449615635,3.4664508056640626,0.25123572,-0.9679259
16470449617485,3.466516418457031,0.25159064,-0.96783376
16470449619123,3.4665960693359374,0.2520461,-0.9677152
16470449620924,3.4665591430664064,0.25251165,-0.96759385
16470449622674,3.4664041137695314,0.25298178,-0.96747106
16470449624457,3.4662457275390626,0.25344494,-0.9673498
16470449626225,3.46608642578125,0.2539426,-0.9672193
16470449628388,3.465864562988281,0.2549403,-0.9669568
16470449630187,3.465700988769531,0.25649104,-0.9665466
16470449631968,3.4655966186523437,0.25857455,-0.9659913
16470449633842,3.465489807128906,0.2606378,-0.96543664
16470449635606,3.4653265380859377,0.26210117,-0.9650404
16470449637318,3.465046081542969,0.26356122,-0.96464264
16470449639011,3.4647625732421874,0.26500916,-0.9642459
16470449640837,3.4645950317382814,0.26643604,-0.9638526
16470449642650,3.4644900512695314,0.26733515,-0.9636036
16470449644562,3.464383850097656,0.26709345,-0.9636706
16470449646396,3.4643365478515626,0.26626393,-0.96390015
16470449648304,3.464292297363281,0.26544112,-0.96412706
16470449650024,3.464191589355469,0.26404324,-0.96451086
16470449651907,3.4640911865234374,0.2626982,-0.9648781
16470449653650,3.4639382934570313,0.26199165,-0.9650701
16470449655572,3.4636685180664064,0.2613027,-0.9652569
16470449657342,3.463398132324219,0.2606569,-0.9654315
16470449659108,3.463245544433594,0.26000726,-0.9656067
16470449660891,3.46321044921875,0.25935453,-0.96578217
16470449662721,3.4632342529296873,0.25815398,-0.9661038
16470449664360,3.4632574462890626,0.25582892,-0.9667221
16470449666278,3.46334228515625,0.2529684,-0.9674745
16470449668052,3.46348876953125,0.25063103,-0.96808267
16470449669794,3.4636972045898435,0.24884324,-0.96854377
16470449671651,3.46396728515625,0.24651301,-0.96913946
16470449673451,3.4642453002929687,0.24408911,-0.9697528
16470449675206,3.464581298828125,0.24227647,-0.9702073
16470449677205,3.4649179077148435,0.24052109,-0.97064394
16470449679207,3.4651947021484375,0.23819302,-0.9712178
16470449681365,3.4655303955078125,0.23528801,-0.9719257
16470449683329,3.4658694458007813,0.23240617,-0.9726188
16470449685391,3.466204833984375,0.22954573,-0.9732979
16470449687374,3.4665435791015624,0.2267077,-0.97396284
16470449689814,3.466815185546875,0.22440213,-0.9744966
16470449691792,3.4670834350585937,0.22211206,-0.9750211
16470449693706,3.4673516845703123,0.21980284,-0.97554433
16470449695657,3.467620849609375,0.21865696,-0.97580177
16470449697606,3.467890625,0.21866743,-0.97579944
16470449699614,3.4681607055664063,0.21863788,-0.97580606
16470449701573,3.4684292602539064,0.21746145,-0.9760689
16470449703616,3.468639221191406,0.21570528,-0.9764585
16470449705363,3.468788757324219,0.21341132,-0.97696245
16470449707197,3.4689376831054686,0.2099874,-0.9777041
16470449709119,3.4690478515625,0.20635794,-0.9784766
16470449710866,3.469068908691406,0.20327358,-0.979122
16470449712821,3.4690887451171877,0.20017177,-0.9797608
16470449714809,3.469224548339844,0.19710769,-0.98038185
16470449716767,3.46941650390625,0.19350277,-0.9810997
16470449718579,3.4696087646484375,0.18989314,-0.9818048
16470449720488,3.469803771972656,0.18630882,-0.98249125
16470449722462,3.469945068359375,0.18211909,-0.9832765
16470449724491,3.470018310546875,0.17846328,-0.98394656
16470449726379,3.4701544189453126,0.17539021,-0.984499
16470449728186,3.470350646972656,0.17289689,-0.98493993
16470449730118,3.470606689453125,0.1710189,-0.98526776
