pos_x_cms,pos_y_cms,pos_z_cms,rot_r_deg,rot_p_deg,rot_y_deg
-450,-360,160,0,-5,-25
-446,-360,160,0,-5,-23
-442,-360,160,0,-5,-20
-437,-360,160,0,-5,-18
-432,-360,160,0,-5,-15
-430,-360,160,0,-5,-12
-426,-360,160,0,-5,-10
-422,-360,160,0,-5,-8
-418,-360,160,0,-5,-5
-414,-360,160,0,-5,-2
-410,-360,160,0,-5,0
-405,-360,160,0,-5,3
-395,-360,160,0,-5,7
-390,-360,160,0,-5,10
-387,-360,160,0,-5,13
-384,-360,160,0,-5,16
-381,-360,160,0,-5,19
-378,-360,160,0,-5,22
-375,-360,160,0,-5,26
-372,-360,160,0,-5,29
-370,-355,160,0,-5,32
-368,-350,160,0,-5,35
-365,-345,160,0,-5,38
-360,-340,160,0,-5,41
-355,-335,160,0,-5,43
-350,-330,160,0,-5,46
-345,-325,160,0,-5,48
-340,-320,160,0,-5,51
-335,-315,160,0,-5,53
-330,-310,160,0,-5,56
-325,-305,160,0,-5,57
-320,-300,160,0,-5,59
-320,-295,160,0,-5,61
-320,-290,160,0,-5,63
-320,-285,160,0,-5,65
-320,-280,160,0,-5,67
-320,-275,160,0,-5,69
-320,-270,160,0,-5,71
-320,-265,160,0,-5,73
-320,-260,160,0,-5,75
-320,-255,160,0,-5,77
-320,-250,160,0,-5,78
-320,-245,160,0,-5,79
-320,-245,160,0,-5,80
-320,-240,160,0,-5,80
-320,-235,160,0,-5,81
-320,-230,160,0,-5,81
-320,-225,160,0,-5,83
-320,-220,160,0,-5,85
-320,-215,160,0,-5,87
-320,-210,160,0,-5,89
-320,-205,160,0,-5,91
-320,-200,160,0,-5,93
-320,-195,160,0,-5,95
