camera_id,pos_x_cms,pos_y_cms,pos_z_cms,rot_r_deg,rot_p_deg,rot_y_deg
ceilingcamera1,-380,-50,280,0,-90,0
ceilingcamera2,-490,-430,250,0,-25,45
ceilingcamera3,-530,-140,250,0,-25,0
ceilingcamera4,-220,220,250,0,-25,-130
ceilingcamera5,-220,-60,250,0,-25,-190
ceilingcamera6,-160,-410,250,0,-25,-220
ceilingcamera7,-320,-430,250,0,-25,-270
ceilingcamera8,-530,-310,250,0,-25,0
ceilingcamera9,-530,50,250,0,-25,0
ceilingcamera10,-370,230,250,0,-25,-85
ceilingcamera11,-210,90,250,0,-25,-185
ceilingcamera12,-130,-240,250,0,-25,-190
ceilingcamera13,90,-130,250,0,-25,-190
ceilingcamera14,80,240,250,-7.602,-35,-136.333
ceilingcamera15,90,70,250,0,-35,-180
ceilingcamera16,-150,230,260,0,-35,-60
ceilingcamera17,-150,230,260,0,-35,-60
ceilingcamera18,-520,230,250,0,-25,-65
ceilingcamera19,-150,-40,260,0,-35,60
