x,y
11.000000,0.000000
11.000000,5.300000
10.000000,5.300000
10.000000,2.650000
8.250000,2.650000
8.250000,0.000000
5.500000,0.000000
5.500000,5.300000
2.700000,5.300000
2.700000,4.350000
5.000000,4.350000
5.000000,0.000000
0.000000,0.000000
0.000000,1.700000
2.300000,1.700000
2.300000,2.650000
0.000000,2.650000
0.000000,7.000000
15.250000,7.000000
15.250000,5.300000
13.200000,5.300000
13.200000,4.350000
15.250000,4.350000
15.250000,2.650000
13.200000,2.650000
13.200000,1.700000
16.635714,1.700000
18.150000,7.000000
19.850000,7.000000
21.364286,1.700000
22.000000,1.700000
22.000000,7.000000
27.000000,7.000000
27.000000,2.650000
25.300000,2.650000
27.000000,0.000000
24.500000,0.000000
23.700000,1.325000
23.700000,0.000000
19.375000,0.000000
19.000000,1.312500
18.625000,0.000000
